Dashboard_City,Major Category,Predicted_Total_Count,Baseline_Last_Month,Pct_Change
Manchester,THEFT,0,0,
Manchester,VEHICLE OFFENCES,1,2,-71.3
Manchester,VIOLENCE AND SEXUAL OFFENCES,9,12,-26.6
Newcastle upon Tyne,ARSON AND CRIMINAL DAMAGE,136,97,40.7
Newcastle upon Tyne,BURGLARY,93,92,0.7
Newcastle upon Tyne,DRUG OFFENCES,76,69,9.5
Newcastle upon Tyne,MISCELLANEOUS CRIMES AGAINST SOCIETY,648,597,8.5
Newcastle upon Tyne,POSSESSION OF WEAPONS,28,18,58.1
Newcastle upon Tyne,PUBLIC ORDER OFFENCES,170,140,21.3
Newcastle upon Tyne,ROBBERY,37,34,8.8
Newcastle upon Tyne,THEFT,563,525,7.2
Newcastle upon Tyne,VEHICLE OFFENCES,122,109,11.5
Newcastle upon Tyne,VIOLENCE AND SEXUAL OFFENCES,806,755,6.8
Nottingham,ARSON AND CRIMINAL DAMAGE,318,271,17.3
Nottingham,BURGLARY,130,127,2.2
Nottingham,DRUG OFFENCES,174,165,5.4
Nottingham,MISCELLANEOUS CRIMES AGAINST SOCIETY,811,737,10.0
Nottingham,POSSESSION OF WEAPONS,63,65,-3.0
Nottingham,PUBLIC ORDER OFFENCES,308,246,25.1
Nottingham,ROBBERY,90,90,0.0
Nottingham,THEFT,964,858,12.3
Nottingham,VEHICLE OFFENCES,201,217,-7.4
Nottingham,VIOLENCE AND SEXUAL OFFENCES,1340,1271,5.5
Plymouth,ARSON AND CRIMINAL DAMAGE,213,195,9.2
Plymouth,BURGLARY,67,58,14.8
Plymouth,DRUG OFFENCES,77,67,14.8
Plymouth,MISCELLANEOUS CRIMES AGAINST SOCIETY,367,295,24.2
Plymouth,POSSESSION OF WEAPONS,37,37,-1.0
Plymouth,PUBLIC ORDER OFFENCES,163,136,19.7
Plymouth,ROBBERY,17,12,41.4
Plymouth,THEFT,370,321,15.1
Plymouth,VEHICLE OFFENCES,94,79,19.0
Plymouth,VIOLENCE AND SEXUAL OFFENCES,1021,956,6.8
Portsmouth,ARSON AND CRIMINAL DAMAGE,133,120,10.9
Portsmouth,BURGLARY,56,52,8.5
Portsmouth,DRUG OFFENCES,82,72,13.5
Portsmouth,MISCELLANEOUS CRIMES AGAINST SOCIETY,263,215,22.1
Portsmouth,POSSESSION OF WEAPONS,33,25,31.0
Portsmouth,PUBLIC ORDER OFFENCES,170,146,16.4
Portsmouth,ROBBERY,31,24,30.2
Portsmouth,THEFT,442,382,15.7
Portsmouth,VEHICLE OFFENCES,130,114,13.6
Portsmouth,VIOLENCE AND SEXUAL OFFENCES,845,767,10.1
Reading,ARSON AND CRIMINAL DAMAGE,96,83,15.7
Reading,BURGLARY,49,28,74.1
Reading,DRUG OFFENCES,42,34,24.1
Reading,MISCELLANEOUS CRIMES AGAINST SOCIETY,193,169,14.3
Reading,POSSESSION OF WEAPONS,14,8,75.1
Reading,PUBLIC ORDER OFFENCES,129,116,11.5
Reading,ROBBERY,26,28,-7.1
Reading,THEFT,472,421,12.1
Reading,VEHICLE OFFENCES,67,78,-14.6
Reading,VIOLENCE AND SEXUAL OFFENCES,579,510,13.6
Sheffield,ARSON AND CRIMINAL DAMAGE,419,377,11.2
Sheffield,BURGLARY,237,227,4.3
Sheffield,DRUG OFFENCES,197,164,20.2
Sheffield,MISCELLANEOUS CRIMES AGAINST SOCIETY,1071,866,23.7
Sheffield,POSSESSION OF WEAPONS,66,47,40.6
Sheffield,PUBLIC ORDER OFFENCES,355,298,19.1
Sheffield,ROBBERY,59,49,21.0
Sheffield,THEFT,939,830,13.1
Sheffield,VEHICLE OFFENCES,321,288,11.6
Sheffield,VIOLENCE AND SEXUAL OFFENCES,1713,1672,2.4
Southampton,ARSON AND CRIMINAL DAMAGE,178,153,16.3
Southampton,BURGLARY,118,132,-10.4
Southampton,DRUG OFFENCES,117,103,13.5
Southampton,MISCELLANEOUS CRIMES AGAINST SOCIETY,359,307,17.0
Southampton,POSSESSION OF WEAPONS,41,38,8.7
Southampton,PUBLIC ORDER OFFENCES,239,213,12.3
Southampton,ROBBERY,40,32,24.5
Southampton,THEFT,560,511,9.6
Southampton,VEHICLE OFFENCES,137,119,15.4
Southampton,VIOLENCE AND SEXUAL OFFENCES,1042,983,6.0
Stoke-on-Trent,ARSON AND CRIMINAL DAMAGE,259,215,20.3
Stoke-on-Trent,BURGLARY,130,146,-11.0
Stoke-on-Trent,DRUG OFFENCES,99,74,34.2
Stoke-on-Trent,MISCELLANEOUS CRIMES AGAINST SOCIETY,649,582,11.5
Stoke-on-Trent,POSSESSION OF WEAPONS,37,30,21.7
Stoke-on-Trent,PUBLIC ORDER OFFENCES,275,230,19.6
Stoke-on-Trent,ROBBERY,51,47,7.8
Stoke-on-Trent,THEFT,441,385,14.5
Stoke-on-Trent,VEHICLE OFFENCES,133,148,-10.1
Stoke-on-Trent,VIOLENCE AND SEXUAL OFFENCES,1248,1100,13.4
Wolverhampton,ARSON AND CRIMINAL DAMAGE,173,154,12.4
Wolverhampton,BURGLARY,64,56,14.0
Wolverhampton,DRUG OFFENCES,60,59,1.9
Wolverhampton,MISCELLANEOUS CRIMES AGAINST SOCIETY,144,109,32.2
Wolverhampton,POSSESSION OF WEAPONS,41,43,-5.0
Wolverhampton,PUBLIC ORDER OFFENCES,121,103,17.8
Wolverhampton,ROBBERY,32,30,5.3
Wolverhampton,THEFT,419,364,15.0
Wolverhampton,VEHICLE OFFENCES,154,164,-5.9
Wolverhampton,VIOLENCE AND SEXUAL OFFENCES,1023,965,6.1
